service_id,date,exception_type
平日,20220429,2
平日,20220503,2
平日,20220504,2
平日,20220505,2
平日,20220718,2
平日,20220811,2
平日,20220919,2
平日,20220923,2
平日,20221010,2
平日,20221103,2
平日,20221123,2
平日,20221229,2
平日,20221230,2
平日,20221231,2
平日,20230101,2
平日,20230102,2
平日,20230103,2
平日,20230109,2
平日,20230211,2
平日,20230223,2
平日,20230321,2
平日,20230429,2
平日,20230503,2
平日,20230504,2
平日,20230505,2
平日,20230717,2
平日,20230811,2
平日,20230918,2
平日,20230923,2
平日,20231009,2
平日,20231103,2
平日,20231123,2
平日,20231229,2
平日,20231230,2
平日,20231231,2
平日,20240101,2
平日,20240102,2
平日,20240103,2
平日,20240108,2
平日,20240211,2
平日,20240212,2
平日,20240223,2
平日,20240320,2
平日,20240429,2
平日,20240503,2
平日,20240504,2
平日,20240505,2
平日,20240506,2
平日,20240715,2
平日,20240811,2
平日,20240812,2
平日,20240916,2
平日,20240922,2
平日,20240923,2
平日,20241014,2
平日,20241103,2
平日,20241104,2
平日,20241123,2
平日,20241229,2
平日,20241230,2
平日,20241231,2
平日,20250101,2
平日,20250102,2
平日,20250103,2
平日,20250113,2
平日,20250211,2
平日,20250223,2
平日,20250224,2
平日,20250320,2
土休日,20220429,1
土休日,20220503,1
土休日,20220504,1
土休日,20220505,1
土休日,20220718,1
土休日,20220811,1
土休日,20220919,1
土休日,20220923,1
土休日,20221010,1
土休日,20221103,1
土休日,20221123,1
土休日,20221229,2
土休日,20221230,2
土休日,20221231,2
土休日,20230101,2
土休日,20230102,2
土休日,20230103,2
土休日,20230109,1
土休日,20230211,1
土休日,20230223,1
土休日,20230321,1
土休日,20230429,1
土休日,20230503,1
土休日,20230504,1
土休日,20230505,1
土休日,20230717,1
土休日,20230811,1
土休日,20230918,1
土休日,20230923,1
土休日,20231009,1
土休日,20231103,1
土休日,20231123,1
土休日,20231229,2
土休日,20231230,2
土休日,20231231,2
土休日,20240101,2
土休日,20240102,2
土休日,20240103,2
土休日,20240108,1
土休日,20240211,1
土休日,20240212,1
土休日,20240223,1
土休日,20240320,1
土休日,20240429,1
土休日,20240503,1
土休日,20240504,1
土休日,20240505,1
土休日,20240506,1
土休日,20240715,1
土休日,20240811,1
土休日,20240812,1
土休日,20240916,1
土休日,20240922,1
土休日,20240923,1
土休日,20241014,1
土休日,20241103,1
土休日,20241104,1
土休日,20241123,1
土休日,20241229,2
土休日,20241230,2
土休日,20241231,2
土休日,20250101,2
土休日,20250102,2
土休日,20250103,2
土休日,20250113,1
土休日,20250211,1
土休日,20250223,1
土休日,20250224,1
土休日,20250320,1
