trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1++平日+1,6:11:00,6:11:00,18_1,17,,0,1,1
1++平日+1,6:11:00,6:11:00,19_1,18,,0,0,1
1++平日+1,6:13:00,6:13:00,12_2,19,,0,0,1
1++平日+1,6:14:00,6:14:00,11_2,20,,0,0,1
1++平日+1,6:15:00,6:15:00,10_2,21,,0,0,1
1++平日+1,6:16:00,6:16:00,9_2,22,,0,0,1
1++平日+1,6:17:00,6:17:00,8_2,23,,0,0,1
1++平日+1,6:18:00,6:18:00,7_2,24,,0,0,1
1++平日+1,6:18:00,6:18:00,6_2,25,,0,0,1
1++平日+1,6:19:00,6:19:00,5_2,26,,0,0,1
1++平日+1,6:28:00,6:28:00,1_0,29,,1,0,1
1++平日+2,6:25:00,6:25:00,18_1,17,,0,1,1
1++平日+2,6:25:00,6:25:00,19_1,18,,0,0,1
1++平日+2,6:27:00,6:27:00,12_2,19,,0,0,1
1++平日+2,6:28:00,6:28:00,11_2,20,,0,0,1
1++平日+2,6:29:00,6:29:00,10_2,21,,0,0,1
1++平日+2,6:30:00,6:30:00,9_2,22,,0,0,1
1++平日+2,6:31:00,6:31:00,8_2,23,,0,0,1
1++平日+2,6:32:00,6:32:00,7_2,24,,0,0,1
1++平日+2,6:32:00,6:32:00,6_2,25,,0,0,1
1++平日+2,6:33:00,6:33:00,5_2,26,,0,0,1
1++平日+2,6:42:00,6:42:00,1_0,29,,1,0,1
1++平日+3,6:33:00,6:33:00,1_0,1,,0,1,1
1++平日+3,6:36:00,6:36:00,5_1,4,,0,0,1
1++平日+3,6:36:00,6:36:00,6_1,5,,0,0,1
1++平日+3,6:37:00,6:37:00,7_1,6,,0,0,1
1++平日+3,6:38:00,6:38:00,8_1,7,,0,0,1
1++平日+3,6:38:00,6:38:00,9_1,8,,0,0,1
1++平日+3,6:39:00,6:39:00,10_1,9,,0,0,1
1++平日+3,6:40:00,6:40:00,11_1,10,,0,0,1
1++平日+3,6:41:00,6:41:00,12_1,11,,0,0,1
1++平日+3,6:44:00,6:44:00,13_1,12,,0,0,1
1++平日+3,6:45:00,6:45:00,14_1,13,,0,0,1
1++平日+3,6:46:00,6:46:00,15_1,14,,0,0,1
1++平日+3,6:47:00,6:47:00,16_0,15,,0,0,1
1++平日+3,6:48:00,6:48:00,17_0,16,,0,0,1
1++平日+3,6:49:00,6:49:00,18_1,17,,0,0,1
1++平日+3,6:50:00,6:50:00,19_1,18,,0,0,1
1++平日+3,6:51:00,6:51:00,12_2,19,,0,0,1
1++平日+3,6:52:00,6:52:00,11_2,20,,0,0,1
1++平日+3,6:53:00,6:53:00,10_2,21,,0,0,1
1++平日+3,6:54:00,6:54:00,9_2,22,,0,0,1
1++平日+3,6:55:00,6:55:00,8_2,23,,0,0,1
1++平日+3,6:56:00,6:56:00,7_2,24,,0,0,1
1++平日+3,6:56:00,6:56:00,6_2,25,,0,0,1
1++平日+3,6:57:00,6:57:00,5_2,26,,0,0,1
1++平日+3,7:09:00,7:09:00,1_0,29,,1,0,1
1++平日+4,6:47:00,6:47:00,1_0,1,,0,1,1
1++平日+4,6:50:00,6:50:00,5_1,4,,0,0,1
1++平日+4,6:50:00,6:50:00,6_1,5,,0,0,1
1++平日+4,6:51:00,6:51:00,7_1,6,,0,0,1
1++平日+4,6:52:00,6:52:00,8_1,7,,0,0,1
1++平日+4,6:52:00,6:52:00,9_1,8,,0,0,1
1++平日+4,6:53:00,6:53:00,10_1,9,,0,0,1
1++平日+4,6:54:00,6:54:00,11_1,10,,0,0,1
1++平日+4,6:55:00,6:55:00,12_1,11,,0,0,1
1++平日+4,6:58:00,6:58:00,13_1,12,,0,0,1
1++平日+4,6:59:00,6:59:00,14_1,13,,0,0,1
1++平日+4,7:00:00,7:00:00,15_1,14,,0,0,1
1++平日+4,7:01:00,7:01:00,16_0,15,,0,0,1
1++平日+4,7:02:00,7:02:00,17_0,16,,0,0,1
1++平日+4,7:03:00,7:03:00,18_1,17,,0,0,1
1++平日+4,7:04:00,7:04:00,19_1,18,,0,0,1
1++平日+4,7:05:00,7:05:00,12_2,19,,0,0,1
1++平日+4,7:06:00,7:06:00,11_2,20,,0,0,1
1++平日+4,7:07:00,7:07:00,10_2,21,,0,0,1
1++平日+4,7:08:00,7:08:00,9_2,22,,0,0,1
1++平日+4,7:09:00,7:09:00,8_2,23,,0,0,1
1++平日+4,7:10:00,7:10:00,7_2,24,,0,0,1
1++平日+4,7:10:00,7:10:00,6_2,25,,0,0,1
1++平日+4,7:11:00,7:11:00,5_2,26,,0,0,1
1++平日+4,7:23:00,7:23:00,1_0,29,,1,0,1
1++平日+5,7:17:00,7:17:00,1_0,1,,0,1,1
1++平日+5,7:20:00,7:20:00,5_1,4,,0,0,1
1++平日+5,7:20:00,7:20:00,6_1,5,,0,0,1
1++平日+5,7:21:00,7:21:00,7_1,6,,0,0,1
1++平日+5,7:22:00,7:22:00,8_1,7,,0,0,1
1++平日+5,7:22:00,7:22:00,9_1,8,,0,0,1
1++平日+5,7:23:00,7:23:00,10_1,9,,0,0,1
1++平日+5,7:24:00,7:24:00,11_1,10,,0,0,1
1++平日+5,7:25:00,7:25:00,12_1,11,,0,0,1
1++平日+5,7:28:00,7:28:00,13_1,12,,0,0,1
1++平日+5,7:29:00,7:29:00,14_1,13,,0,0,1
1++平日+5,7:30:00,7:30:00,15_1,14,,0,0,1
1++平日+5,7:31:00,7:31:00,16_0,15,,0,0,1
1++平日+5,7:32:00,7:32:00,17_0,16,,0,0,1
1++平日+5,7:33:00,7:33:00,18_1,17,,0,0,1
1++平日+5,7:34:00,7:34:00,19_1,18,,0,0,1
1++平日+5,7:35:00,7:35:00,12_2,19,,0,0,1
1++平日+5,7:36:00,7:36:00,11_2,20,,0,0,1
1++平日+5,7:37:00,7:37:00,10_2,21,,0,0,1
1++平日+5,7:38:00,7:38:00,9_2,22,,0,0,1
1++平日+5,7:39:00,7:39:00,8_2,23,,0,0,1
1++平日+5,7:40:00,7:40:00,7_2,24,,0,0,1
1++平日+5,7:40:00,7:40:00,6_2,25,,0,0,1
1++平日+5,7:41:00,7:41:00,5_2,26,,0,0,1
1++平日+5,7:53:00,7:53:00,1_0,29,,1,0,1
1++平日+6,7:28:00,7:28:00,1_0,1,,0,1,1
1++平日+6,7:31:00,7:31:00,3_1,2,,0,0,1
1++平日+6,7:32:00,7:32:00,4_1,3,,0,0,1
1++平日+6,7:34:00,7:34:00,5_1,4,,0,0,1
1++平日+6,7:34:00,7:34:00,6_1,5,,0,0,1
1++平日+6,7:35:00,7:35:00,7_1,6,,0,0,1
1++平日+6,7:36:00,7:36:00,8_1,7,,0,0,1
1++平日+6,7:36:00,7:36:00,9_1,8,,0,0,1
1++平日+6,7:37:00,7:37:00,10_1,9,,0,0,1
1++平日+6,7:38:00,7:38:00,11_1,10,,0,0,1
1++平日+6,7:39:00,7:39:00,12_1,11,,0,0,1
1++平日+6,7:42:00,7:42:00,13_1,12,,0,0,1
1++平日+6,7:43:00,7:43:00,14_1,13,,0,0,1
1++平日+6,7:44:00,7:44:00,15_1,14,,0,0,1
1++平日+6,7:45:00,7:45:00,16_0,15,,0,0,1
1++平日+6,7:46:00,7:46:00,17_0,16,,0,0,1
1++平日+6,7:47:00,7:47:00,18_1,17,,0,0,1
1++平日+6,7:48:00,7:48:00,19_1,18,,0,0,1
1++平日+6,7:52:00,7:52:00,12_2,19,,0,0,1
1++平日+6,7:53:00,7:53:00,11_2,20,,0,0,1
1++平日+6,7:54:00,7:54:00,10_2,21,,0,0,1
1++平日+6,7:58:00,7:58:00,9_2,22,,0,0,1
1++平日+6,7:59:00,7:59:00,8_2,23,,0,0,1
1++平日+6,8:00:00,8:00:00,7_2,24,,0,0,1
1++平日+6,8:00:00,8:00:00,6_2,25,,0,0,1
1++平日+6,8:01:00,8:01:00,5_2,26,,0,0,1
1++平日+6,8:03:00,8:03:00,4_2,27,,0,0,1
1++平日+6,8:04:00,8:04:00,3_2,28,,0,0,1
1++平日+6,8:16:00,8:16:00,1_0,29,,1,0,1
1++平日+7,8:25:00,8:25:00,1_0,1,,0,1,1
1++平日+7,8:28:00,8:28:00,3_1,2,,0,0,1
1++平日+7,8:29:00,8:29:00,4_1,3,,0,0,1
1++平日+7,8:31:00,8:31:00,5_1,4,,0,0,1
1++平日+7,8:31:00,8:31:00,6_1,5,,0,0,1
1++平日+7,8:32:00,8:32:00,7_1,6,,0,0,1
1++平日+7,8:33:00,8:33:00,8_1,7,,0,0,1
1++平日+7,8:33:00,8:33:00,9_1,8,,0,0,1
1++平日+7,8:34:00,8:34:00,10_1,9,,0,0,1
1++平日+7,8:35:00,8:35:00,11_1,10,,0,0,1
1++平日+7,8:36:00,8:36:00,12_1,11,,0,0,1
1++平日+7,8:39:00,8:39:00,13_1,12,,0,0,1
1++平日+7,8:40:00,8:40:00,14_1,13,,0,0,1
1++平日+7,8:41:00,8:41:00,15_1,14,,0,0,1
1++平日+7,8:42:00,8:42:00,16_0,15,,0,0,1
1++平日+7,8:43:00,8:43:00,17_0,16,,0,0,1
1++平日+7,8:44:00,8:44:00,18_1,17,,0,0,1
1++平日+7,8:45:00,8:45:00,19_1,18,,0,0,1
1++平日+7,8:46:00,8:46:00,12_2,19,,0,0,1
1++平日+7,8:47:00,8:47:00,11_2,20,,0,0,1
1++平日+7,8:48:00,8:48:00,10_2,21,,0,0,1
1++平日+7,8:49:00,8:49:00,9_2,22,,0,0,1
1++平日+7,8:50:00,8:50:00,8_2,23,,0,0,1
1++平日+7,8:51:00,8:51:00,7_2,24,,0,0,1
1++平日+7,8:51:00,8:51:00,6_2,25,,0,0,1
1++平日+7,8:52:00,8:52:00,5_2,26,,0,0,1
1++平日+7,8:54:00,8:54:00,4_2,27,,0,0,1
1++平日+7,8:55:00,8:55:00,3_2,28,,0,0,1
1++平日+7,9:07:00,9:07:00,1_0,29,,1,0,1
1++平日+8,9:15:00,9:15:00,1_0,1,,0,1,1
1++平日+8,9:18:00,9:18:00,3_1,2,,0,0,1
1++平日+8,9:19:00,9:19:00,4_1,3,,0,0,1
1++平日+8,9:21:00,9:21:00,5_1,4,,0,0,1
1++平日+8,9:21:00,9:21:00,6_1,5,,0,0,1
1++平日+8,9:22:00,9:22:00,7_1,6,,0,0,1
1++平日+8,9:23:00,9:23:00,8_1,7,,0,0,1
1++平日+8,9:23:00,9:23:00,9_1,8,,0,0,1
1++平日+8,9:24:00,9:24:00,10_1,9,,0,0,1
1++平日+8,9:25:00,9:25:00,11_1,10,,0,0,1
1++平日+8,9:26:00,9:26:00,12_1,11,,0,0,1
1++平日+8,9:29:00,9:29:00,13_1,12,,0,0,1
1++平日+8,9:30:00,9:30:00,14_1,13,,0,0,1
1++平日+8,9:31:00,9:31:00,15_1,14,,0,0,1
1++平日+8,9:32:00,9:32:00,16_0,15,,0,0,1
1++平日+8,9:33:00,9:33:00,17_0,16,,0,0,1
1++平日+8,9:34:00,9:34:00,18_1,17,,0,0,1
1++平日+8,9:35:00,9:35:00,19_1,18,,0,0,1
1++平日+8,9:36:00,9:36:00,12_2,19,,0,0,1
1++平日+8,9:37:00,9:37:00,11_2,20,,0,0,1
1++平日+8,9:38:00,9:38:00,10_2,21,,0,0,1
1++平日+8,9:39:00,9:39:00,9_2,22,,0,0,1
1++平日+8,9:40:00,9:40:00,8_2,23,,0,0,1
1++平日+8,9:41:00,9:41:00,7_2,24,,0,0,1
1++平日+8,9:41:00,9:41:00,6_2,25,,0,0,1
1++平日+8,9:42:00,9:42:00,5_2,26,,0,0,1
1++平日+8,9:44:00,9:44:00,4_2,27,,0,0,1
1++平日+8,9:45:00,9:45:00,3_2,28,,0,0,1
1++平日+8,9:57:00,9:57:00,1_0,29,,1,0,1
1++平日+9,10:10:00,10:10:00,1_0,1,,0,1,1
1++平日+9,10:13:00,10:13:00,3_1,2,,0,0,1
1++平日+9,10:14:00,10:14:00,4_1,3,,0,0,1
1++平日+9,10:16:00,10:16:00,5_1,4,,0,0,1
1++平日+9,10:16:00,10:16:00,6_1,5,,0,0,1
1++平日+9,10:17:00,10:17:00,7_1,6,,0,0,1
1++平日+9,10:18:00,10:18:00,8_1,7,,0,0,1
1++平日+9,10:18:00,10:18:00,9_1,8,,0,0,1
1++平日+9,10:19:00,10:19:00,10_1,9,,0,0,1
1++平日+9,10:20:00,10:20:00,11_1,10,,0,0,1
1++平日+9,10:21:00,10:21:00,12_1,11,,0,0,1
1++平日+9,10:24:00,10:24:00,13_1,12,,0,0,1
1++平日+9,10:25:00,10:25:00,14_1,13,,0,0,1
1++平日+9,10:26:00,10:26:00,15_1,14,,0,0,1
1++平日+9,10:27:00,10:27:00,16_0,15,,0,0,1
1++平日+9,10:28:00,10:28:00,17_0,16,,0,0,1
1++平日+9,10:29:00,10:29:00,18_1,17,,0,0,1
1++平日+9,10:30:00,10:30:00,19_1,18,,0,0,1
1++平日+9,10:31:00,10:31:00,12_2,19,,0,0,1
1++平日+9,10:32:00,10:32:00,11_2,20,,0,0,1
1++平日+9,10:33:00,10:33:00,10_2,21,,0,0,1
1++平日+9,10:34:00,10:34:00,9_2,22,,0,0,1
1++平日+9,10:35:00,10:35:00,8_2,23,,0,0,1
1++平日+9,10:36:00,10:36:00,7_2,24,,0,0,1
1++平日+9,10:36:00,10:36:00,6_2,25,,0,0,1
1++平日+9,10:37:00,10:37:00,5_2,26,,0,0,1
1++平日+9,10:39:00,10:39:00,4_2,27,,0,0,1
1++平日+9,10:40:00,10:40:00,3_2,28,,0,0,1
1++平日+9,10:52:00,10:52:00,1_0,29,,1,0,1
1++平日+10,11:10:00,11:10:00,1_0,1,,0,1,1
1++平日+10,11:13:00,11:13:00,3_1,2,,0,0,1
1++平日+10,11:14:00,11:14:00,4_1,3,,0,0,1
1++平日+10,11:16:00,11:16:00,5_1,4,,0,0,1
1++平日+10,11:16:00,11:16:00,6_1,5,,0,0,1
1++平日+10,11:17:00,11:17:00,7_1,6,,0,0,1
1++平日+10,11:18:00,11:18:00,8_1,7,,0,0,1
1++平日+10,11:18:00,11:18:00,9_1,8,,0,0,1
1++平日+10,11:19:00,11:19:00,10_1,9,,0,0,1
1++平日+10,11:20:00,11:20:00,11_1,10,,0,0,1
1++平日+10,11:21:00,11:21:00,12_1,11,,0,0,1
1++平日+10,11:24:00,11:24:00,13_1,12,,0,0,1
1++平日+10,11:25:00,11:25:00,14_1,13,,0,0,1
1++平日+10,11:26:00,11:26:00,15_1,14,,0,0,1
1++平日+10,11:27:00,11:27:00,16_0,15,,0,0,1
1++平日+10,11:28:00,11:28:00,17_0,16,,0,0,1
1++平日+10,11:29:00,11:29:00,18_1,17,,0,0,1
1++平日+10,11:30:00,11:30:00,19_1,18,,0,0,1
1++平日+10,11:31:00,11:31:00,12_2,19,,0,0,1
1++平日+10,11:32:00,11:32:00,11_2,20,,0,0,1
1++平日+10,11:33:00,11:33:00,10_2,21,,0,0,1
1++平日+10,11:34:00,11:34:00,9_2,22,,0,0,1
1++平日+10,11:35:00,11:35:00,8_2,23,,0,0,1
1++平日+10,11:36:00,11:36:00,7_2,24,,0,0,1
1++平日+10,11:36:00,11:36:00,6_2,25,,0,0,1
1++平日+10,11:37:00,11:37:00,5_2,26,,0,0,1
1++平日+10,11:39:00,11:39:00,4_2,27,,0,0,1
1++平日+10,11:40:00,11:40:00,3_2,28,,0,0,1
1++平日+10,11:52:00,11:52:00,1_0,29,,1,0,1
1++平日+11,12:05:00,12:05:00,1_0,1,,0,1,1
1++平日+11,12:08:00,12:08:00,3_1,2,,0,0,1
1++平日+11,12:09:00,12:09:00,4_1,3,,0,0,1
