trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1++all+1,6:55:00,6:55:00,1_1,1,,0,1,1
1++all+1,6:55:00,6:55:00,2_1,2,,0,0,1
1++all+1,6:58:00,6:58:00,3_1,3,,0,0,1
1++all+1,6:59:00,6:59:00,4_1,4,,0,0,1
1++all+1,7:00:00,7:00:00,5_1,5,,0,0,1
1++all+1,7:00:00,7:00:00,6_1,6,,0,0,1
1++all+1,7:01:00,7:01:00,7_1,7,,0,0,1
1++all+1,7:01:00,7:01:00,8_1,8,,0,0,1
1++all+1,7:01:00,7:01:00,9_1,9,,0,0,1
1++all+1,7:02:00,7:02:00,10_1,10,,0,0,1
1++all+1,7:02:00,7:02:00,11_1,11,,0,0,1
1++all+1,7:05:00,7:05:00,1_1,12,,1,0,1
1++all+2,7:15:00,7:15:00,1_1,1,,0,1,1
1++all+2,7:15:00,7:15:00,2_1,2,,0,0,1
1++all+2,7:18:00,7:18:00,3_1,3,,0,0,1
1++all+2,7:19:00,7:19:00,4_1,4,,0,0,1
1++all+2,7:20:00,7:20:00,5_1,5,,0,0,1
1++all+2,7:20:00,7:20:00,6_1,6,,0,0,1
1++all+2,7:21:00,7:21:00,7_1,7,,0,0,1
1++all+2,7:21:00,7:21:00,8_1,8,,0,0,1
1++all+2,7:21:00,7:21:00,9_1,9,,0,0,1
1++all+2,7:22:00,7:22:00,10_1,10,,0,0,1
1++all+2,7:22:00,7:22:00,11_1,11,,0,0,1
1++all+2,7:25:00,7:25:00,1_1,12,,1,0,1
1++all+3,7:35:00,7:35:00,1_1,1,,0,1,1
1++all+3,7:35:00,7:35:00,2_1,2,,0,0,1
1++all+3,7:38:00,7:38:00,3_1,3,,0,0,1
1++all+3,7:39:00,7:39:00,4_1,4,,0,0,1
1++all+3,7:40:00,7:40:00,5_1,5,,0,0,1
1++all+3,7:40:00,7:40:00,6_1,6,,0,0,1
1++all+3,7:41:00,7:41:00,7_1,7,,0,0,1
1++all+3,7:41:00,7:41:00,8_1,8,,0,0,1
1++all+3,7:41:00,7:41:00,9_1,9,,0,0,1
1++all+3,7:42:00,7:42:00,10_1,10,,0,0,1
1++all+3,7:42:00,7:42:00,11_1,11,,0,0,1
1++all+3,7:45:00,7:45:00,1_1,12,,1,0,1
1++all+4,7:55:00,7:55:00,1_1,1,,0,1,1
1++all+4,7:55:00,7:55:00,2_1,2,,0,0,1
1++all+4,7:58:00,7:58:00,3_1,3,,0,0,1
1++all+4,7:59:00,7:59:00,4_1,4,,0,0,1
1++all+4,8:00:00,8:00:00,5_1,5,,0,0,1
1++all+4,8:00:00,8:00:00,6_1,6,,0,0,1
1++all+4,8:01:00,8:01:00,7_1,7,,0,0,1
1++all+4,8:01:00,8:01:00,8_1,8,,0,0,1
1++all+4,8:01:00,8:01:00,9_1,9,,0,0,1
1++all+4,8:02:00,8:02:00,10_1,10,,0,0,1
1++all+4,8:02:00,8:02:00,11_1,11,,0,0,1
1++all+4,8:05:00,8:05:00,1_1,12,,1,0,1
1++weekday+5,8:10:00,8:10:00,1_1,1,,0,1,1
1++weekday+5,8:10:00,8:10:00,2_1,2,,0,0,1
1++weekday+5,8:13:00,8:13:00,3_1,3,,0,0,1
1++weekday+5,8:14:00,8:14:00,4_1,4,,0,0,1
1++weekday+5,8:15:00,8:15:00,5_1,5,,0,0,1
1++weekday+5,8:15:00,8:15:00,6_1,6,,0,0,1
1++weekday+5,8:16:00,8:16:00,7_1,7,,0,0,1
1++weekday+5,8:16:00,8:16:00,8_1,8,,0,0,1
1++weekday+5,8:16:00,8:16:00,9_1,9,,0,0,1
1++weekday+5,8:17:00,8:17:00,10_1,10,,0,0,1
1++weekday+5,8:17:00,8:17:00,11_1,11,,0,0,1
1++weekday+5,8:20:00,8:20:00,1_1,12,,1,0,1
1++weekday+6,8:25:00,8:25:00,1_1,1,,0,1,1
1++weekday+6,8:25:00,8:25:00,2_1,2,,0,0,1
1++weekday+6,8:28:00,8:28:00,3_1,3,,0,0,1
1++weekday+6,8:29:00,8:29:00,4_1,4,,0,0,1
1++weekday+6,8:30:00,8:30:00,5_1,5,,0,0,1
1++weekday+6,8:30:00,8:30:00,6_1,6,,0,0,1
1++weekday+6,8:31:00,8:31:00,7_1,7,,0,0,1
1++weekday+6,8:31:00,8:31:00,8_1,8,,0,0,1
1++weekday+6,8:31:00,8:31:00,9_1,9,,0,0,1
1++weekday+6,8:32:00,8:32:00,10_1,10,,0,0,1
1++weekday+6,8:32:00,8:32:00,11_1,11,,0,0,1
1++weekday+6,8:35:00,8:35:00,1_1,12,,1,0,1
1++weekday+7,8:40:00,8:40:00,1_1,1,,0,1,1
1++weekday+7,8:40:00,8:40:00,2_1,2,,0,0,1
1++weekday+7,8:43:00,8:43:00,3_1,3,,0,0,1
1++weekday+7,8:44:00,8:44:00,4_1,4,,0,0,1
1++weekday+7,8:45:00,8:45:00,5_1,5,,0,0,1
1++weekday+7,8:45:00,8:45:00,6_1,6,,0,0,1
1++weekday+7,8:46:00,8:46:00,7_1,7,,0,0,1
1++weekday+7,8:46:00,8:46:00,8_1,8,,0,0,1
1++weekday+7,8:46:00,8:46:00,9_1,9,,0,0,1
1++weekday+7,8:47:00,8:47:00,10_1,10,,0,0,1
1++weekday+7,8:47:00,8:47:00,11_1,11,,0,0,1
1++weekday+7,8:50:00,8:50:00,1_1,12,,1,0,1
1++holiday+9,8:15:00,8:15:00,1_1,1,,0,1,1
1++holiday+9,8:15:00,8:15:00,2_1,2,,0,0,1
1++holiday+9,8:18:00,8:18:00,3_1,3,,0,0,1
1++holiday+9,8:19:00,8:19:00,4_1,4,,0,0,1
1++holiday+9,8:20:00,8:20:00,5_1,5,,0,0,1
1++holiday+9,8:20:00,8:20:00,6_1,6,,0,0,1
1++holiday+9,8:21:00,8:21:00,7_1,7,,0,0,1
1++holiday+9,8:21:00,8:21:00,8_1,8,,0,0,1
