route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1,all,1++all+1,循環線,,SHP0001
1,all,1++all+2,循環線,,SHP0001
1,all,1++all+3,循環線,,SHP0001
1,all,1++all+4,循環線,,SHP0001
1,weekday,1++weekday+5,循環線,,SHP0001
1,weekday,1++weekday+6,循環線,,SHP0001
1,weekday,1++weekday+7,循環線,,SHP0001
1,holiday,1++holiday+9,循環線,,SHP0001
1,holiday,1++holiday+10,循環線,,SHP0001
1,all,1++all+8,循環線,,SHP0001
1,all,1++all+11,循環線,,SHP0001
1,all,1++all+12,循環線,,SHP0001
1,all,1++all+13,循環線,,SHP0001
1,all,1++all+14,循環線,,SHP0001
1,all,1++all+15,循環線,,SHP0001
1,all,1++all+16,循環線,,SHP0001
1,all,1++all+17,循環線,,SHP0001
1,all,1++all+18,循環線,,SHP0001
1,all,1++all+19,循環線,,SHP0001
1,all,1++all+20,循環線,,SHP0001
1,all,1++all+21,循環線,,SHP0001
1,all,1++all+22,循環線,,SHP0001
1,all,1++all+23,循環線,,SHP0001
1,all,1++all+24,循環線,,SHP0001
1,all,1++all+25,循環線,,SHP0001
1,all,1++all+26,循環線,,SHP0001
1,all,1++all+27,循環線,,SHP0001
1,all,1++all+28,循環線,,SHP0001
1,all,1++all+29,循環線,,SHP0001
1,all,1++all+30,循環線,,SHP0001
1,all,1++all+31,循環線,,SHP0001
1,all,1++all+32,循環線,,SHP0001
1,all,1++all+33,循環線,,SHP0001
1,all,1++all+34,循環線,,SHP0001
1,all,1++all+35,循環線,,SHP0001
1,all,1++all+36,循環線,,SHP0001
1,all,1++all+37,循環線,,SHP0001
1,all,1++all+38,循環線,,SHP0001
