"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"7002","33.852034","130.815089","1"
"7002","33.851835","130.815334","2"
"7002","33.852411","130.816257","3"
"7002","33.852563","130.816347","4"
"7002","33.852612","130.816489","5"
"7002","33.852685","130.816685","6"
"7002","33.853394","130.816936","7"
"7002","33.853597","130.816842","8"
"7002","33.85372","130.816966","9"
"7002","33.853931","130.817171","10"
"7002","33.854411","130.817217","11"
"7002","33.855006","130.817751","12"
"7002","33.85514","130.817946","13"
"7002","33.855545","130.818294","14"
"7002","33.855755","130.817947","15"
"7002","33.856018","130.818159","16"
"7002","33.85631","130.818356","17"
"7002","33.855996","130.818742","18"
"7002","33.855854","130.819029","19"
"7002","33.856054","130.819236","20"
"7002","33.856678","130.8196","21"
"7002","33.856956","130.819849","22"
"7002","33.857055","130.819895","23"
"7002","33.857594","130.818965","24"
"7002","33.857828","130.819172","25"
"7002","33.8589","130.820111","26"
"7002","33.859162","130.819949","27"
"7002","33.859449","130.819422","28"
"7002","33.860083","130.819975","29"
"7002","33.860812","130.820666","30"
"7002","33.861892","130.821747","31"
"7002","33.862347","130.822138","32"
"7002","33.862111","130.822585","33"
"7002","33.862476","130.823766","34"
"7002","33.862768","130.824487","35"
"7002","33.863049","130.825023","36"
"7002","33.863132","130.825154","37"
"7002","33.863581","130.824955","38"
"7002","33.863559","130.824834","39"
"7002","33.863363","130.823978","40"
"7002","33.863204","130.822406","41"
"7002","33.86337","130.822335","42"
"7002","33.863432","130.820673","43"
"7001","33.861892","130.821747","1"
"7001","33.862347","130.822138","2"
"7001","33.862111","130.822585","3"
"7001","33.862476","130.823766","4"
"7001","33.862768","130.824487","5"
"7001","33.863049","130.825023","6"
"7001","33.863132","130.825154","7"
"7001","33.863581","130.824955","8"
"7001","33.863559","130.824834","9"
"7001","33.863363","130.823978","10"
"7001","33.863204","130.822406","11"
"7001","33.86337","130.822335","12"
"7001","33.863432","130.820673","13"
"7001","33.863766","130.819715","14"
"7001","33.863562","130.819667","15"
"7001","33.863257","130.819824","16"
"7001","33.863013","130.820897","17"
"7001","33.862756","130.821465","18"
"7001","33.862434","130.822014","19"
"7001","33.862351","130.822134","20"
"7001","33.862116","130.821983","21"
"7001","33.861892","130.821747","22"
"7001","33.860648","130.820503","23"
"7001","33.860083","130.819975","24"
"7001","33.859475","130.819469","25"
"7001","33.859173","130.819972","26"
"7001","33.858939","130.820125","27"
"7001","33.857589","130.818954","28"
"7001","33.857066","130.81991","29"
"7001","33.856956","130.819849","30"
"7001","33.856054","130.819236","31"
"7001","33.85585","130.819033","32"
"7001","33.856325","130.818378","33"
"7001","33.856018","130.818159","34"
"7001","33.855783","130.81798","35"
"7001","33.855552","130.818284","36"
"7001","33.85514","130.817946","37"
"7001","33.855007","130.817726","38"
"7001","33.854764","130.817565","39"
"7001","33.854596","130.817341","40"
"7001","33.854358","130.817229","41"
"7001","33.854112","130.81717","42"
"7001","33.853919","130.817194","43"
"7001","33.85372","130.816966","44"
"7001","33.853574","130.816889","45"
"7001","33.853451","130.816974","46"
"7001","33.853225","130.816901","47"
"7001","33.852922","130.816759","48"
"7001","33.852713","130.816681","49"
"7001","33.852601","130.81646","50"
"7001","33.852546","130.816347","51"
"7001","33.852411","130.816257","52"
"7001","33.852152","130.81588","53"
"7001","33.851961","130.815532","54"
"7001","33.85181","130.815289","55"
"7001","33.852034","130.815089","56"
