"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type"
"平日_07時30分_系統6001","7:30:00","7:30:00","Tai-1_01","1","サンキュードラッグ前","2","2"
"平日_07時30分_系統6001","7:32:00","7:32:00","Tai-2_01","2","サンキュードラッグ前","2","2"
"平日_07時30分_系統6001","7:35:00","7:35:00","Tai-3_01","3","サンキュードラッグ前","2","2"
"平日_07時30分_系統6001","7:40:00","7:40:00","Tai-4_01","4","サンキュードラッグ前","2","2"
"平日_07時30分_系統6001","7:41:00","7:41:00","Tai-5_01","5","サンキュードラッグ前","2","2"
"平日_07時30分_系統6001","7:42:00","7:42:00","Tai-6_01","6","サンキュードラッグ前","2","2"
"平日_07時30分_系統6001","7:43:00","7:43:00","Tai-7_01","7","サンキュードラッグ前","2","2"
"平日_07時30分_系統6001","7:44:00","7:44:00","Tai-8_01","8","サンキュードラッグ前","2","2"
"平日_07時30分_系統6001","7:46:00","7:46:00","Tai-9_01","9","サンキュードラッグ前","2","2"
"平日_07時30分_系統6001","7:51:00","7:51:00","Tai-10_01","10","サンキュードラッグ前","1","0"
"平日_08時10分_系統6002","8:10:00","8:10:00","Tai-10_01","1","田代","2","2"
"平日_08時10分_系統6002","8:15:00","8:15:00","Tai-9_01","2","田代","2","2"
"平日_08時10分_系統6002","8:17:00","8:17:00","Tai-8_01","3","田代","2","2"
"平日_08時10分_系統6002","8:18:00","8:18:00","Tai-7_01","4","田代","2","2"
"平日_08時10分_系統6002","8:19:00","8:19:00","Tai-6_01","5","田代","2","2"
"平日_08時10分_系統6002","8:20:00","8:20:00","Tai-5_01","6","田代","2","2"
"平日_08時10分_系統6002","8:21:00","8:21:00","Tai-4_01","7","田代","2","2"
"平日_08時10分_系統6002","8:26:00","8:26:00","Tai-3_01","8","田代","2","2"
"平日_08時10分_系統6002","8:29:00","8:29:00","Tai-2_01","9","田代","2","2"
"平日_08時10分_系統6002","8:31:00","8:31:00","Tai-1_01","10","田代","1","0"
"平日_08時40分_系統6001","8:40:00","8:40:00","Tai-1_01","1","サンキュードラッグ前","2","2"
"平日_08時40分_系統6001","8:42:00","8:42:00","Tai-2_01","2","サンキュードラッグ前","2","2"
"平日_08時40分_系統6001","8:45:00","8:45:00","Tai-3_01","3","サンキュードラッグ前","2","2"
"平日_08時40分_系統6001","8:50:00","8:50:00","Tai-4_01","4","サンキュードラッグ前","2","2"
"平日_08時40分_系統6001","8:51:00","8:51:00","Tai-5_01","5","サンキュードラッグ前","2","2"
"平日_08時40分_系統6001","8:52:00","8:52:00","Tai-6_01","6","サンキュードラッグ前","2","2"
"平日_08時40分_系統6001","8:53:00","8:53:00","Tai-7_01","7","サンキュードラッグ前","2","2"
"平日_08時40分_系統6001","8:54:00","8:54:00","Tai-8_01","8","サンキュードラッグ前","2","2"
"平日_08時40分_系統6001","8:56:00","8:56:00","Tai-9_01","9","サンキュードラッグ前","2","2"
"平日_08時40分_系統6001","9:01:00","9:01:00","Tai-10_01","10","サンキュードラッグ前","1","0"
"平日_09時15分_系統6002","9:15:00","9:15:00","Tai-10_01","1","田代","2","2"
"平日_09時15分_系統6002","9:20:00","9:20:00","Tai-9_01","2","田代","2","2"
"平日_09時15分_系統6002","9:22:00","9:22:00","Tai-8_01","3","田代","2","2"
"平日_09時15分_系統6002","9:23:00","9:23:00","Tai-7_01","4","田代","2","2"
"平日_09時15分_系統6002","9:24:00","9:24:00","Tai-6_01","5","田代","2","2"
"平日_09時15分_系統6002","9:25:00","9:25:00","Tai-5_01","6","田代","2","2"
"平日_09時15分_系統6002","9:26:00","9:26:00","Tai-4_01","7","田代","2","2"
